"query","demand","clicks","competition","yandex_cluster","source_url","region","device","collected_at"
"трактор для планировки участка в туношне","9","7","высокая","трактор для планировки участка в туношне","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка с вывозом мусора ярославль","7","6","высокая","планировка участка ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"очистка и планировка участка от деревьев и кустарников","6","6","высокая","расчистка участка от деревьев и кустарников ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"ярославль трактор планировка участка в частном доме","6","6","высокая","планировка участка услуги","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка онлайн","6","5","высокая","ландшафтный дизайн 3д программа онлайн бесплатно","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"сделать планировку участка трактором в некрасовском цена","5","5","низкая","планировка участка услуги","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"расчистка и планировка участка","4","4","высокая","расчистка участка","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"аренда трактора для планировки участка","4","4","высокая","выравнивание участка трактором с планировкой мини погрузчики","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"трактор для планировки участка","4","4","высокая","выровнять участок трактором","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка цена за сотку","3","3","высокая","планировка участка цена за сотку","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участок под газон в ярославле","3","3","высокая","планировка участка ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка 10 соток с домом","4","3","умеренная","планировка участка 10 соток","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"сколько стоит планировка участка цена за м2 техникой","3","3","высокая","планировка участка ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка 6 соток","6","3","высокая","планировка участка 6 соток","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка трактором цена","3","3","высокая","сколько стоит нанять трактор для выравнивания участка","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"расчистка планировка участка","2","2","высокая","расчистка земельного участка под строительство","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка 15 соток","2","2","умеренная","планировка участка 15 соток","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка под газон в ярославле","2","2","высокая","планировка участка ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"сколько стоит планировка дачного участка","2","2","высокая","планировка участка ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка земельного участка в ярославле","2","2","высокая","планировка участка ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка онлайн бесплатно","1","2","умеренная","ландшафтный дизайн 3д программа онлайн бесплатно","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка дачного участка","2","2","высокая","планировка участка","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"отсыпка и планировка участка в ярославле цена","2","2","высокая","планировка участок под газон в ярославле","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"сколько стоит планировка участка цена трактором","3","2","умеренная","выравнивание участка под газон цена","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"нивание участка планировка ярославль","1","1","высокая","планировка участка ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка аренда погрузчика в ярославле","1","1","высокая","планировка участка аренда погрузчика в ярославле","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка стоимость работ","1","1","высокая","планировка участка цена","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка 20 соток прямоугольной формы","0","1","нет данных","планировка участка 20 соток","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"услуги трактора для планировки участка красные ткачи ярославль","0","1","нет данных","услуги трактора для планировки участка красные ткачи ярославль","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка услуги","1","1","высокая","планировка участка цена","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка ярославль подать заявку мини погрузчики ru","0","1","нет данных","","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"аренда мини трактора для планировки участка","1","1","высокая","аренда минитрактора для выравнивания участка","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"дизайн участка загородного 12 соток планировка фото","0","1","нет данных","ландшафтный дизайн участка 12 соток","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка на 10 сотых земли из двух маленьких домов","0","1","нет данных","расположение объектов на участке 10 соток","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"программа для планировки участка","1","1","высокая","ландшафтный дизайн 3д программа онлайн бесплатно","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка 6 соток с жилым домом примеры","0","1","нет данных","планировка участка 6 соток","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка садового участка","1","1","высокая","планировка участка","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"планировка участка 4 сотки","1","1","умеренная","дизайн садового участка 4 соток фото","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"трактор в переславле планировка участка","0","1","нет данных","трактор в переславле планировка участка","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
